SiteName,UnitCode,LocationName,Datum,Latitude,Longitude
Jean Lafitte Barataria Unit,JELA,BP 24,WGS84,29.7926998,-90.1160965
Jean Lafitte Barataria Unit,JELA,BP 25,WGS84,29.7633991,-90.1092987
Jean Lafitte Barataria Unit,JELA,BP 26,WGS84,29.7882996,-90.1082001
Jean Lafitte Barataria Unit,JELA,BP 27,WGS84,29.7957993,-90.1343002
Jean Lafitte Barataria Unit,JELA,BP 28,WGS84,29.8076992,-90.1259003
Jean Lafitte Barataria Unit,JELA,BP 29,WGS84,29.8108997,-90.1164017
Jean Lafitte Barataria Unit,JELA,BP 30,WGS84,29.7490997,-90.1427994
Jean Lafitte Barataria Unit,JELA,BP 31,WGS84,29.7852993,-90.1057968
Jean Lafitte Barataria Unit,JELA,BP 32,WGS84,29.7840996,-90.1120987
Jean Lafitte Barataria Unit,JELA,BP 33,WGS84,29.8057003,-90.1139984
Jean Lafitte Barataria Unit,JELA,BP 34,WGS84,29.8346996,-90.1175995
Jean Lafitte Barataria Unit,JELA,BP 35,WGS84,29.8717995,-90.1327972
Jean Lafitte Barataria Unit,JELA,BP 36,WGS84,29.7814007,-90.1044998
Jean Lafitte Barataria Unit,JELA,BP 37,WGS84,29.8659,-90.1169968
Jean Lafitte Barataria Unit,JELA,BP 38,WGS84,29.7950001,-90.0931015
Jean Lafitte Barataria Unit,JELA,BP 39,WGS84,29.7861996,-90.1183014
Jean Lafitte Barataria Unit,JELA,BP 40,WGS84,29.8017006,-90.1091003
Gulf Islands Florida Unit,GUIS,GUISFL01,WGS84,30.3537006,-87.035202
Gulf Islands Florida Unit,GUIS,GUISFL10,WGS84,30.3731003,-86.9276962
Gulf Islands Florida Unit,GUIS,GUISFL11,WGS84,30.3584995,-87.0001984
Gulf Islands Florida Unit,GUIS,GUISFL12,WGS84,30.3654003,-87.1509018
Gulf Islands Florida Unit,GUIS,GUISFL13,WGS84,30.3691998,-87.1222
Gulf Islands Florida Unit,GUIS,GUISFL14,WGS84,30.3796997,-87.1216965
Gulf Islands Florida Unit,GUIS,GUISFL15,WGS84,30.3738995,-87.1296997
Gulf Islands Florida Unit,GUIS,GUISFL16,WGS84,30.3707008,-87.1264038
Gulf Islands Florida Unit,GUIS,GUISFL17,WGS84,30.3637009,-87.1486969
Gulf Islands Florida Unit,GUIS,GUISFL18,WGS84,30.3689995,-87.1194
Gulf Islands Florida Unit,GUIS,GUISFL19,WGS84,30.3722,-87.1331024
Gulf Islands Florida Unit,GUIS,GUISFL02,WGS84,30.3675003,-86.9434967
Gulf Islands Florida Unit,GUIS,GUISFL20,WGS84,30.3694,-87.1417007
Gulf Islands Florida Unit,GUIS,GUISFL21,WGS84,30.3773994,-87.1353989
Gulf Islands Florida Unit,GUIS,GUISFL22,WGS84,30.3691998,-87.1328964
Gulf Islands Florida Unit,GUIS,GUISFL23,WGS84,30.3666992,-87.1222
Gulf Islands Florida Unit,GUIS,GUISFL24,WGS84,30.3637009,-87.1435013
Gulf Islands Florida Unit,GUIS,GUISFL25,WGS84,30.3216,-87.2241974
Gulf Islands Florida Unit,GUIS,GUISFL26,WGS84,30.3785,-87.1314011
Gulf Islands Florida Unit,GUIS,GUISFL27,WGS84,30.3696003,-87.1389999
Gulf Islands Florida Unit,GUIS,GUISFL28,WGS84,30.3658009,-87.1402969
Gulf Islands Florida Unit,GUIS,GUISFL29,WGS84,30.3715992,-87.1191025
Gulf Islands Florida Unit,GUIS,GUISFL03,WGS84,30.3708,-86.9386978
Gulf Islands Florida Unit,GUIS,GUISFL30,WGS84,30.3773003,-87.1220016
Gulf Islands Florida Unit,GUIS,GUISFL31,WGS84,30.3677006,-87.1353989
Gulf Islands Florida Unit,GUIS,GUISFL32,WGS84,30.3523998,-87.2981033
Gulf Islands Florida Unit,GUIS,GUISFL33,WGS84,30.3477001,-87.2972031
Gulf Islands Florida Unit,GUIS,GUISFL34,WGS84,30.3213997,-87.229599
Gulf Islands Florida Unit,GUIS,GUISFL35,WGS84,30.3253994,-87.3162003
Gulf Islands Florida Unit,GUIS,GUISFL36,WGS84,30.3243008,-87.282402
Gulf Islands Florida Unit,GUIS,GUISFL37,WGS84,30.3281002,-87.2858963
Gulf Islands Florida Unit,GUIS,GUISFL38,WGS84,30.3202991,-87.2641983
Gulf Islands Florida Unit,GUIS,GUISFL39,WGS84,30.3199005,-87.2720032
Gulf Islands Florida Unit,GUIS,GUISFL04,WGS84,30.3579006,-87.0093002
Gulf Islands Florida Unit,GUIS,GUISFL40,WGS84,30.3223991,-87.2860031
Gulf Islands Florida Unit,GUIS,GUISFL41,WGS84,30.3195,-87.2692032
Gulf Islands Florida Unit,GUIS,GUISFL42,WGS84,30.3274002,-87.289299
Gulf Islands Florida Unit,GUIS,GUISFL43,WGS84,30.3286991,-87.2923965
Gulf Islands Florida Unit,GUIS,GUISFL44,WGS84,30.3127003,-87.3606033
Gulf Islands Florida Unit,GUIS,GUISFL45,WGS84,30.3027992,-87.4157028
Gulf Islands Florida Unit,GUIS,GUISFL47,WGS84,30.3775997,-87.1280975
Gulf Islands Florida Unit,GUIS,GUISFL48,WGS84,30.3621006,-87.1516037
Gulf Islands Florida Unit,GUIS,GUISFL05,WGS84,30.3680992,-86.9486008
Gulf Islands Florida Unit,GUIS,GUISFL06,WGS84,30.3603001,-86.9882965
Gulf Islands Florida Unit,GUIS,GUISFL07,WGS84,30.3589001,-86.9934006
Gulf Islands Florida Unit,GUIS,GUISFL08,WGS84,30.3628006,-86.9744034
Gulf Islands Florida Unit,GUIS,GUISFL09,WGS84,30.3661995,-86.9660034
Gulf Islands Mississippi Unit,GUIS,GUISMS01,WGS84,30.2287998,-89.1331024
Gulf Islands Mississippi Unit,GUIS,GUISMS10,WGS84,30.2371998,-88.8892975
Gulf Islands Mississippi Unit,GUIS,GUISMS11,WGS84,30.2084007,-88.9652023
Gulf Islands Mississippi Unit,GUIS,GUISMS12,WGS84,30.2478008,-88.7217026
Gulf Islands Mississippi Unit,GUIS,GUISMS13,WGS84,30.2294998,-88.6266022
Gulf Islands Mississippi Unit,GUIS,GUISMS14,WGS84,30.2334003,-88.6680984
Gulf Islands Mississippi Unit,GUIS,GUISMS15,WGS84,30.2091999,-88.9589996
Gulf Islands Mississippi Unit,GUIS,GUISMS16,WGS84,30.2033997,-88.4389038
Gulf Islands Mississippi Unit,GUIS,GUISMS17,WGS84,30.2378998,-88.8868027
Gulf Islands Mississippi Unit,GUIS,GUISMS18,WGS84,30.2444992,-88.7414017
Gulf Islands Mississippi Unit,GUIS,GUISMS19,WGS84,30.2059002,-88.4858017
Gulf Islands Mississippi Unit,GUIS,GUISMS02,WGS84,30.2052994,-88.4207001
Gulf Islands Mississippi Unit,GUIS,GUISMS20,WGS84,30.2383003,-88.6824036
Gulf Islands Mississippi Unit,GUIS,GUISMS21,WGS84,30.2357006,-88.6719971
Gulf Islands Mississippi Unit,GUIS,GUISMS22,WGS84,30.2252007,-89.1110992
Gulf Islands Mississippi Unit,GUIS,GUISMS23,WGS84,30.2329998,-88.6716003
Gulf Islands Mississippi Unit,GUIS,GUISMS24,WGS84,30.2448997,-88.7320023
Gulf Islands Mississippi Unit,GUIS,GUISMS25,WGS84,30.3973007,-88.7950974
