uniq_Id,Park_Unit,Location_Name,X,Y,Active,Map_Class,Physiognomy
119,Gulf Islands Florida Unit,GUISFL26,30.3785,-87.1314011,TRUE,Sand Pine / Sand Live Oak - Myrtle Oak - False Rosemary Woodland,Woodlands and Forest
120,Gulf Islands Florida Unit,GUISFL27,30.3696003,-87.1389999,TRUE,Slash Pine - (Longleaf Pine) / Yaupon - Saw Palmetto - Wax-myrtle Woodland,Woodlands and Forest
121,Gulf Islands Florida Unit,GUISFL28,30.3658009,-87.1402969,TRUE,Sand Pine / Sand Live Oak - Myrtle Oak - False Rosemary Woodland,Woodlands and Forest
122,Gulf Islands Florida Unit,GUISFL29,30.3715992,-87.1191025,TRUE,"Swamp Tupelo - Sweetbay - (Slash Pine) / (Southern Bayberry, Scentless Bayberry) Swamp Forest",Woodlands and Forest
125,Gulf Islands Florida Unit,GUISFL31,30.3677006,-87.1353989,TRUE,Myrtle Oak - Sand Live Oak - Sand Heath - False Rosemary Shrubland,Shrublands
141,Gulf Islands Florida Unit,GUISFL46,30.368,-87.129303,TRUE,Slash Pine - (Longleaf Pine) / Yaupon - Saw Palmetto - Wax-myrtle Woodland,Woodlands and Forest
142,Gulf Islands Florida Unit,GUISFL47,30.3775997,-87.1280975,TRUE,Sand Pine / Sand Live Oak - Myrtle Oak - False Rosemary Woodland,Woodlands and Forest
167,Gulf Islands Mississippi Unit,GUISMS26,30.3901005,-88.7890015,TRUE,Slash Pine - (Longleaf Pine) / Yaupon - Saw Palmetto - Wax-myrtle Woodland,Woodlands and Forest
168,Gulf Islands Mississippi Unit,GUISMS27,30.3967991,-88.7879028,TRUE,"Swamp Tupelo - Sweetbay - (Slash Pine) / (Southern Bayberry, Scentless Bayberry) Swamp Forest",Woodlands and Forest
169,Gulf Islands Mississippi Unit,GUISMS28,30.4008999,-88.7931976,TRUE,Water Oak Ruderal Forest,Woodlands and Forest
174,Gulf Islands Mississippi Unit,GUISMS32,30.3969002,-88.7820969,TRUE,Slash Pine - (Longleaf Pine) / Yaupon - Saw Palmetto - Wax-myrtle Woodland,Woodlands and Forest
176,Gulf Islands Mississippi Unit,GUISMS34,30.3974991,-88.7774963,TRUE,Slash Pine - (Longleaf Pine) / Yaupon - Saw Palmetto - Wax-myrtle Woodland,Woodlands and Forest
178,Gulf Islands Mississippi Unit,GUISMS36,30.3985004,-88.7854996,TRUE,Slash Pine - (Longleaf Pine) / Yaupon - Saw Palmetto - Wax-myrtle Woodland,Woodlands and Forest
181,Gulf Islands Mississippi Unit,GUISMS39,30.3959999,-88.7794037,TRUE,Slash Pine - (Longleaf Pine) / Yaupon - Saw Palmetto - Wax-myrtle Woodland,Woodlands and Forest
183,Gulf Islands Mississippi Unit,GUISMS40,30.3920002,-88.7873993,TRUE,Water Oak Ruderal Forest,Woodlands and Forest
61,Jean Lafitte Barataria Unit,BP 01,29.7994003,-90.1232986,TRUE,Ruderal Water Oak Forest,Woodlands and Forest
62,Jean Lafitte Barataria Unit,BP 02,29.7889996,-90.1130981,TRUE,Ruderal Bottomland Deciduous Forest,Woodlands and Forest
63,Jean Lafitte Barataria Unit,BP 03,29.7952995,-90.1010971,TRUE,Ruderal Mixed Spoil Bank Forest,Woodlands and Forest
64,Jean Lafitte Barataria Unit,BP 04,29.7929993,-90.1243973,TRUE,Ruderal Mixed Spoil Bank Forest,Woodlands and Forest
65,Jean Lafitte Barataria Unit,BP 05,29.8057995,-90.1213989,TRUE,Ruderal Water Oak Forest,Woodlands and Forest
66,Jean Lafitte Barataria Unit,BP 06,29.7842007,-90.1083984,TRUE,Ruderal Bottomland Deciduous Forest,Woodlands and Forest
67,Jean Lafitte Barataria Unit,BP 07,29.7931004,-90.1039963,TRUE,Disturbed Woody Wetland,Woodlands and Forest
68,Jean Lafitte Barataria Unit,BP 08,29.7877007,-90.1020966,TRUE,Disturbed Woody Wetland,Woodlands and Forest
71,Jean Lafitte Barataria Unit,BP 11,29.7924995,-90.1115036,TRUE,Delta Backslope Swamp Forest,Woodlands and Forest
73,Jean Lafitte Barataria Unit,BP 13,29.7933998,-90.1327972,TRUE,Ruderal Mixed Spoil Bank Forest,Woodlands and Forest
74,Jean Lafitte Barataria Unit,BP 14,29.7912006,-90.1289978,TRUE,Ruderal Mixed Spoil Bank Forest,Woodlands and Forest
76,Jean Lafitte Barataria Unit,BP 16,29.8031998,-90.1131973,TRUE,Natural Levee Live Oak Forest,Woodlands and Forest
77,Jean Lafitte Barataria Unit,BP 17,29.7896004,-90.1203003,TRUE,Delta Backslope Swamp Forest,Woodlands and Forest
79,Jean Lafitte Barataria Unit,BP 19,29.7817001,-90.110199,TRUE,Ruderal Bottomland Deciduous Forest,Woodlands and Forest
80,Jean Lafitte Barataria Unit,BP 20,29.7642002,-90.1036987,TRUE,Ruderal Water Oak Forest,Woodlands and Forest
83,Jean Lafitte Barataria Unit,BP 23,29.8008003,-90.1155014,TRUE,Natural Levee Live Oak Forest,Woodlands and Forest
84,Jean Lafitte Barataria Unit,BP 24,29.7926998,-90.1160965,TRUE,Ruderal Bottomland Deciduous Forest,Woodlands and Forest
85,Jean Lafitte Barataria Unit,BP 25,29.7633991,-90.1092987,TRUE,Ruderal Bottomland Deciduous Forest,Woodlands and Forest
86,Jean Lafitte Barataria Unit,BP 26,29.7882996,-90.1082001,TRUE,Ruderal Bottomland Deciduous Forest,Woodlands and Forest
87,Jean Lafitte Barataria Unit,BP 27,29.7957993,-90.1343002,TRUE,Arrowhead - Spikerush - Maidencane Marsh,Marsh
88,Jean Lafitte Barataria Unit,BP 28,29.8076992,-90.1259003,TRUE,Ruderal Water Oak Forest,Woodlands and Forest
90,Jean Lafitte Barataria Unit,BP 30,29.7490997,-90.1427994,TRUE,Delta Backslope Swamp Forest,Woodlands and Forest
91,Jean Lafitte Barataria Unit,BP 31,29.7852993,-90.1057968,TRUE,Ruderal Bottomland Deciduous Forest,woodlands and Forest
92,Jean Lafitte Barataria Unit,BP 32,29.7840996,-90.1120987,TRUE,Floating & Submerged Aquatic Marsh,Marsh
93,Jean Lafitte Barataria Unit,BP 33,29.8057003,-90.1139984,TRUE,Bald-cypress Wooded Marsh,Woodlands and Forest
96,Jean Lafitte Barataria Unit,BP 36,29.7814007,-90.1044998,TRUE,Natural Levee Live Oak Forest,Woodlands and Forest
99,Jean Lafitte Barataria Unit,BP 39,29.7861996,-90.1183014,TRUE,Delta Backslope Swamp Forest,Woodlands and Forest
100,Jean Lafitte Barataria Unit,BP 40,29.8017006,-90.1091003,TRUE,Ruderal Mixed Spoil Bank Forest,Woodlands and Forest
335,Jean Lafitte Barataria Unit,BP 41,29.84968,-90.13183,TRUE,Ruderal Mixed Spoil Bank Forest,Woodland and Forest
336,Jean Lafitte Barataria Unit,BP 42,29.84177,-90.12486,TRUE,Delta Backslope Swamp Forest,Woodland and Forest
337,Jean Lafitte Barataria Unit,BP 43,29.8419,-90.128,TRUE,Ruderal Mixed Spoil Bank Forest,Woodland and Forest
338,Jean Lafitte Barataria Unit,BP 44,29.77963,-90.09815,TRUE,Natural Levee Live Oak Forest,Woodland and Forest
189,Palo Alto Battlefield NHP,PAAL04,26.0380001,-97.4722977,TRUE,Borrichia frutescens Prairie,prairie
190,Palo Alto Battlefield NHP,PAAL05,26.0259991,-97.464798,TRUE,Dead and Sparse grasses,grassland
191,Palo Alto Battlefield NHP,PAAL06,26.0263996,-97.4713974,TRUE,Dead and Sparse grasses,grassland
192,Palo Alto Battlefield NHP,PAAL08,26.0104008,-97.4750977,TRUE,Borrichia frutescens Prairie,prairie
193,Palo Alto Battlefield NHP,PAAL09,26.0144997,-97.4758987,TRUE,Mesquital Prairie,prairie
194,Palo Alto Battlefield NHP,PAAL10,26.0132999,-97.4707031,TRUE,Borrichia frutescens Prairie,prairie
195,Palo Alto Battlefield NHP,PAAL12,26.0349998,-97.4740982,TRUE,Borrichia frutescens Prairie,prairie
196,Palo Alto Battlefield NHP,PAAL15,26.0076008,-97.466301,TRUE,Dead and Sparse grasses,grassland
197,Palo Alto Battlefield NHP,PAAL16,26.0335999,-97.4641037,TRUE,Borrichia frutescens Prairie,prairie
198,Palo Alto Battlefield NHP,PAAL21,26.0049992,-97.4686966,TRUE,Dead and Sparse grasses,grassland
199,Palo Alto Battlefield NHP,PAAL22,26.0312996,-97.4731979,TRUE,Borrichia frutescens Prairie,prairie
200,Palo Alto Battlefield NHP,PAAL26,26.0277004,-97.4748993,TRUE,Tamaulipan Brush,brush
201,Palo Alto Battlefield NHP,PAAL31,26.0172005,-97.4719009,TRUE,Borrichia frutescens Prairie,prairie
202,Palo Alto Battlefield NHP,PAAL33,26.0228004,-97.4800034,TRUE,Borrichia frutescens Prairie,prairie
203,Palo Alto Battlefield NHP,PAAL34,26.0226002,-97.4709015,TRUE,Dead and Sparse grasses,grassland
