OID_,Join_Count,TARGET_FID,id_db,id_protocol,Latitude,Longitude,SiteName,UnitCode,park,latitude_1,longitude_1,utmX,utmY,utmZone,monBeginDate,monEndDate
161,1,161,TC19,TC_19,30.4715004,-94.3476028,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.47147,-94.34756,370643.8714,3371801.424,utm15,20140613,
162,1,162,TC20,TC_20,30.5855007,-94.3554001,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.58547916,-94.35541521,370041.6291,3384446.329,utm15,20150509,
163,1,163,TC21,TC_21,30.5622005,-94.3393021,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.56220091,-94.33933441,371552.9246,3381847.887,utm15,20140603,
164,1,164,TC22,TC_22,30.5352993,-94.3376999,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.53527885,-94.33773401,371671.0071,3378862.234,utm15,20150519,
165,0,165,TC25,,30.5459003,-94.3567963,Big Thicket Turkey Creek Unit,BITH_TC,,,,,,,,
166,1,166,TC27,TC_27,30.6119003,-94.3498001,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.61185976,-94.3498299,370612.2704,3387363.74,utm15,20140515,
167,1,167,TC29,TC_29,30.5646992,-94.3331985,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.56469654,-94.33317297,372147.1553,3382117.474,utm15,20140528,
168,1,168,TC31,TC_31,30.5245991,-94.3368988,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.52463481,-94.33692098,371735.0223,3377681.611,utm15,20150605,
169,1,169,TC33,TC_33,30.5410004,-94.3491974,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.54097205,-94.34915861,370582.4963,3379506.284,utm15,20150521,
170,1,170,TC34,TC_34,30.5534992,-94.3539963,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.55345042,-94.35400867,370133.8285,3380894.87,utm15,20140606,
171,1,171,TC35,TC_35,30.5293999,-94.3343964,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.52937877,-94.33434923,371987.9999,3378204.47,utm15,20140528,
172,1,172,TC36,TC_36,30.5645008,-94.3463974,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.56445171,-94.34637507,370880.6206,3382105.397,utm15,20140606,
173,1,173,TC37,TC_37,30.4743004,-94.3450012,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.47425647,-94.34497554,370895.6608,3372107.294,utm15,20140530,
174,1,174,TC38,TC_38,30.5130005,-94.339798,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.51295033,-94.3398265,371440.8593,3376389.908,utm15,20150608,
175,1,175,TC39,TC_39,30.4659996,-94.3345032,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.46602036,-94.33452539,371888.0773,3371182.581,utm15,20140530,
176,1,176,TC40,TC_40,30.4976997,-94.3347015,Big Thicket Turkey Creek Unit,BITH_TC,BITH,30.49765945,-94.33469058,371913.6619,3374689.359,utm15,20150610,
177,0,177,UKN,,0,0,Big Thicket Turkey Creek Unit,BITH_TC,,,,,,,,
178,1,178,BP 41,BP_41,29.84968,-90.13183,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.84967858,-90.131833,777102.8421,3305582.637,utm15,201806,
179,1,179,BP 42,BP_42,29.84177,-90.12486,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.84177065,-90.12485527,777799.1854,3304722.672,utm15,201806,
180,1,180,BP 43,BP_43,29.8419,-90.128,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.84190078,-90.12799977,777494.8714,3304729.508,utm15,201806,
181,1,181,BP 44,BP_44,29.77963,-90.09815,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.77962993,-90.09815439,780553.7942,3297897.478,utm15,201806,
