OID_,Join_Count,TARGET_FID,id_db,id_protocol,Latitude,Longitude,SiteName,UnitCode,park,latitude_1,longitude_1,utmX,utmY,utmZone,monBeginDate,monEndDate
39,1,39,BP 07,BP_07,29.7931004,-90.1039963,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79306487,-90.10395768,779955.0454,3299372.983,utm15,20140527,
40,1,40,BP 08,BP_08,29.7877007,-90.1020966,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.7876817,-90.1021455,780145.3135,3298780.521,utm15,20140527,
41,1,41,BP 11,BP_11,29.7924995,-90.1115036,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79246286,-90.11154997,779222.469,3299287.802,utm15,20140527,
42,1,42,BP 13,BP_13,29.7933998,-90.1327972,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79342281,-90.13278029,777166.638,3299342.954,utm15,20140604,
43,1,43,BP 14,BP_14,29.7912006,-90.1289978,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79122728,-90.1289921,777539.0546,3299108.646,utm15,20140604,
44,1,44,BP 16,BP_16,29.8031998,-90.1131973,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80317215,-90.11322118,779031.0903,3300471.159,utm15,20140602,
45,1,45,BP 17,BP_17,29.7896004,-90.1203003,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78955214,-90.1203214,778382.248,3298943.839,utm15,20140604,
46,1,46,BP 19,BP_19,29.7817001,-90.110199,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78165441,-90.11018225,779384.795,3298092.716,utm15,20140527,
47,1,47,BP 20,BP_20,29.7642002,-90.1036987,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.76417341,-90.10369418,780061.0215,3296170.236,utm15,20140527,
48,1,48,BP 23,BP_23,29.8008003,-90.1155014,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80079664,-90.11545462,778821.7131,3300202.36,utm15,20150602,
49,1,49,BP 24,BP_24,29.7926998,-90.1160965,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79272163,-90.11606689,778784.9182,3299305.551,utm15,20150604,
50,1,50,BP 25,BP_25,29.7633991,-90.1092987,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.76344623,-90.10929454,779521.2753,3296076.015,utm15,20150528,
51,1,51,BP 26,BP_26,29.7882996,-90.1082001,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.7882838,-90.10824244,779553.9705,3298832.466,utm15,20150604,
52,1,52,BP 27,BP_27,29.7957993,-90.1343002,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79576049,-90.13427028,777016.0967,3299598.56,utm15,20150602,
53,1,53,BP 28,BP_28,29.8076992,-90.1259003,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80771,-90.125875,777794.9141,3300943.697,utm15,20150602,
54,1,54,BP 30,BP_30,29.7490997,-90.1427994,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.74913544,-90.14277237,776322.0101,3294408.603,utm15,20150528,
55,1,55,BP 31,BP_31,29.7852993,-90.1057968,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78533293,-90.10579732,779798.667,3298511.22,utm15,20150604,
56,1,56,BP 32,BP_32,29.7840996,-90.1120987,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78413855,-90.11211907,779190.5621,3298363.453,utm15,20150603,
57,1,57,BP 33,BP_33,29.8057003,-90.1139984,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80574243,-90.11400956,778947.7131,3300754.232,utm15,20150602,
58,1,58,BP 36,BP_36,29.7814007,-90.1044998,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78144405,-90.10451927,779933.1099,3298083.139,utm15,20150604,
59,1,59,BP 39,BP_39,29.7861996,-90.1183014,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.7862086,-90.11831002,778586.0456,3298577.984,utm15,20150604,
60,1,60,BP 40,BP_40,29.8017006,-90.1091003,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80172793,-90.10909572,779434.0416,3300321.035,utm15,20150602,
61,1,61,GUISFL12,FL_12,30.3654003,-87.1509018,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36541046,-87.15093642,485496.1522,3359286.577,utm16,20130615,
62,1,62,GUISFL16,FL_16,30.3707008,-87.1264038,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.37072362,-87.12643442,487851.2679,3359872.471,utm16,20130616,
63,1,63,GUISFL17,FL_17,30.3637009,-87.1486969,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36369785,-87.14873266,485707.6673,3359096.515,utm16,20120211,
64,1,64,GUISFL21,FL_21,30.3773994,-87.1353989,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.37738304,-87.13544467,486986.3787,3360611.432,utm16,20130615,
65,1,65,GUISFL22,FL_22,30.3691998,-87.1328964,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.3691902,-87.13288505,487231.2447,3359703.254,utm16,20120211,
66,1,66,GUISFL23,FL_23,30.3666992,-87.1222,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36673462,-87.12216197,488261.3188,3359429.982,utm16,20130616,
67,1,67,GUISFL24,FL_24,30.3637009,-87.1435013,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36372255,-87.14354911,486205.7802,3359098.609,utm16,20130615,
68,1,68,GUISFL26,FL_26,30.3785,-87.1314011,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.37845543,-87.13136139,487378.8412,3360729.806,utm16,20120211,
69,1,69,GUISFL27,FL_27,30.3696003,-87.1389999,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36958638,-87.13899784,486643.9278,3359747.862,utm16,20130615,
70,1,70,GUISFL28,FL_28,30.3658009,-87.1402969,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36577891,-87.14027587,486520.6019,3359326.09,utm16,20120211,
71,1,71,GUISFL29,FL_29,30.3715992,-87.1191025,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.37157095,-87.11914097,488552.1737,3359965.608,utm16,20120211,
72,1,72,GUISFL31,FL_31,30.3677006,-87.1353989,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36767275,-87.13536855,486992.4075,3359535.382,utm16,20120211,
73,1,73,GUISFL46,FL_46,30.368,-87.129303,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36804083,-87.12927565,487577.9219,3359575.486,utm16,20130616,2018
74,1,74,GUISFL47,FL_47,30.3775997,-87.1280975,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.3775674,-87.12811998,487690.1636,3360631.043,utm16,20120211,
75,1,75,GUISMS26,MS_26,30.3901005,-88.7890015,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39010561,-88.78904216,328116.1541,3363371.324,utm16,20120208,
76,0,76,GUISMS27,,30.3967991,-88.7879028,Gulf Islands Mississippi Unit,GUIS_MS,,,,,,,,
77,1,77,GUISMS28,MS_28,30.4008999,-88.7931976,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.40082201,-88.79324357,327731.2508,3364565.531,utm16,20120208,
78,1,78,GUISMS32,MS_32,30.3969002,-88.7820969,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39690992,-88.78213579,328791.6678,3364115.054,utm16,20130609,
79,1,79,GUISMS34,MS_34,30.3974991,-88.7774963,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39751258,-88.77744985,329242.9616,3364174.775,utm16,20130608,
80,1,80,GUISMS36,MS_36,30.3985004,-88.7854996,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39846157,-88.78546746,328474.2587,3364292.085,utm16,20130609,
