order,park,landbird?,Common Name,Latin Name,4-letter code,Present in GULN point count,‘Present’ in NPSpecies & classified as park breeding,landbird or not,food,where,guild
1119,JELA,no,Mallard,Anas platyrhynchos,MALL,no,yes,not landbird,NA,NA,NA_NA
1120,JELA,no,Gadwall,Anas strepera,GADW,no,yes,not landbird,NA,NA,NA_NA
1091,JELA,no,Anhinga,Anhinga anhinga,ANHI,yes,yes,not landbird,NA,NA,NA_NA
1187,JELA,no,Greater White-fronted Goose,Anser albifrons,GWFG,no,no,not landbird,NA,NA,NA_NA
107,JELA,yes,American Pipit,Anthus rubescens,AMPI,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
119,JELA,yes,Ruby-throated Hummingbird,Archilochus colubris,RTHU,yes,yes,,Nectarivore,NA,Nectarivore_NA
1092,JELA,no,Great Egret,Ardea alba,GREG,yes,yes,not landbird,NA,NA,NA_NA
1093,JELA,no,Great Blue Heron,Ardea herodias,GBHE,yes,yes,not landbird,NA,NA,NA_NA
1188,JELA,no,Black Turnstone,Arenaria melanocephala,BLTU,no,no,not landbird,NA,NA,NA_NA
1121,JELA,no,Lesser Scaup,Aythya affinis,LESC,no,yes,not landbird,NA,NA,NA_NA
1122,JELA,no,Redhead,Aythya americana,REDH,no,yes,not landbird,NA,NA,NA_NA
1189,JELA,no,Ring-necked Duck,Aythya collaris,RNDU,no,no,not landbird,NA,NA,NA_NA
