order,park,landbird?,Common Name,Latin Name,4-letter code,Present in GULN point count,‘Present’ in NPSpecies & classified as park breeding,landbird or not,food,where,guild
869,GUIS-MS,yes,Great Crested Flycatcher,Myiarchus crinitus,GCFL,yes,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1606,GUIS-MS,no,Whimbrel,Numenius phaeopus,WHIM,no,no,not landbird,NA,NA,NA_NA
1507,GUIS-MS,no,Yellow-crowned Night-Heron,Nyctanassa violacea,YCNH,no,yes,not landbird,NA,NA,NA_NA
1515,GUIS-MS,no,Black-crowned Night-Heron,Nycticorax nycticorax,BCNH,yes,yes,not landbird,NA,NA,NA_NA
1531,GUIS-MS,no,Sooty Tern,Onychoprion fuscatus,SOTE,no,yes,not landbird,NA,NA,NA_NA
879,GUIS-MS,yes,Connecticut Warbler,Oporornis agilis,CONW,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
942,GUIS-MS,yes,Sage Thrasher,Oreoscoptes montanus,SATH,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1571,GUIS-MS,no,Ruddy Duck,Oxyura jamaicensis,RUDU,no,yes,not landbird,NA,NA,NA_NA
1497,GUIS-MS,no,Osprey,Pandion haliaetus,OSPR,yes,yes,not landbird,NA,NA,NA_NA
948,GUIS-MS,yes,Louisiana Waterthrush,Parkesia motacilla,LOWA,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
955,GUIS-MS,yes,Northern Waterthrush,Parkesia noveboracensis,NOWA,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
963,GUIS-MS,yes,House Sparrow,Passer domesticus,HOSP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
971,GUIS-MS,yes,Savannah Sparrow,Passerculus sandwichensis,SAVS,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
976,GUIS-MS,yes,Fox Sparrow,Passerella iliaca,FOSP,no,no,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
985,GUIS-MS,yes,Blue Grosbeak,Passerina caerulea,BLGR,no,yes,,Insectivore, ground gleaner,Insectivore_ ground gleaner
993,GUIS-MS,yes,Painted Bunting,Passerina ciris,PABU,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1001,GUIS-MS,yes,Indigo Bunting,Passerina cyanea,INBU,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1489,GUIS-MS,no,Brown Pelican,Pelecanus occidentalis,BRPE,yes,yes,not landbird,NA,NA,NA_NA
1007,GUIS-MS,yes,Cave Swallow,Petrochelidon fulva,CASW,no,no,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1014,GUIS-MS,yes,Cliff Swallow,Petrochelidon pyrrhonota,CLSW,no,no,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1524,GUIS-MS,no,Double-crested Cormorant,Phalacrocorax auritus,DCCO,no,yes,not landbird,NA,NA,NA_NA
1608,GUIS-MS,no,Wilson's Phalarope,Phalaropus tricolor,WIPH,no,no,not landbird,NA,NA,NA_NA
1027,GUIS-MS,yes,Rose-breasted Grosbeak,Pheucticus ludovicianus,RBGR,no,no,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1031,GUIS-MS,yes,Black-headed Grosbeak,Pheucticus melanocephalus,BHGR,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1038,GUIS-MS,yes,Downy Woodpecker,Picoides pubescens,DOWO,yes,yes,,Insectivore,bark excavator,Insectivore_bark excavator
1046,GUIS-MS,yes,Hairy Woodpecker,Picoides villosus,HAWO,no,yes,,Insectivore,bark excavator,Insectivore_bark excavator
1054,GUIS-MS,yes,Rufous-sided Towhee,Pipilo erythrophthalmus,EATO,yes,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1064,GUIS-MS,yes,Western Tanager,Piranga ludoviciana,WETA,no,no,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1071,GUIS-MS,yes,Scarlet Tanager,Piranga olivacea,SCTA,no,no,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1078,GUIS-MS,yes,Summer Tanager,Piranga rubra,SUTA,yes,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1581,GUIS-MS,no,Glossy Ibis,Plegadis falcinellus,GLIB,no,no,not landbird,NA,NA,NA_NA
1591,GUIS-MS,no,Lesser Golden Plover,Pluvialis dominica,AMGP,no,no,not landbird,NA,NA,NA_NA
1538,GUIS-MS,no,Black-bellied Plover,Pluvialis squatarola,BBPL,no,yes,not landbird,NA,NA,NA_NA
1553,GUIS-MS,no,Horned Grebe,Podiceps auritus,HOGR,no,yes,not landbird,NA,NA,NA_NA
1562,GUIS-MS,no,Pied-billed Grebe,Podilymbus podiceps,PBGR,no,yes,not landbird,NA,NA,NA_NA
1088,GUIS-MS,yes,Carolina Chickadee,Poecile carolinensis,CACH,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1330,GUIS-MS,yes,Blue-gray Gnatcatcher,Polioptila caerulea,BGGN,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1338,GUIS-MS,yes,Vesper Sparrow,Pooecetes gramineus,VESP,no,yes,,Granivore, ground to undergrowth gleaner,Granivore_ ground to undergrowth gleaner
1597,GUIS-MS,no,Purple Gallinule,Porphyrio martinica,PUGA,no,no,not landbird,NA,NA,NA_NA
1601,GUIS-MS,no,Sora,Porzana carolina,SORA,no,no,not landbird,NA,NA,NA_NA
1346,GUIS-MS,yes,Purple Martin,Progne subis,PUMA,yes,yes,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1352,GUIS-MS,yes,Prothonotary Warbler,Protonotaria citrea,PROW,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1358,GUIS-MS,yes,Vermilion Flycatcher,Pyrocephalus rubinus,VEFL,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1362,GUIS-MS,yes,Boat-tailed Grackle,Quiscalus major,BTGR,yes,yes,,Omnivore, ground forager,Omnivore_ ground forager
1373,GUIS-MS,yes,Common Grackle,Quiscalus quiscula,COGR,no,yes,,Omnivore, ground forager,Omnivore_ ground forager
1533,GUIS-MS,no,King Rail,Rallus elegans,KIRA,no,yes,not landbird,NA,NA,NA_NA
1579,GUIS-MS,no,Virginia Rail,Rallus limicola,VIRA,no,yes,not landbird,NA,NA,NA_NA
1491,GUIS-MS,no,Clapper Rail,Rallus longirostris,MARA,yes,yes,not landbird,NA,NA,NA_NA
1381,GUIS-MS,yes,Ruby-crowned Kinglet,Regulus calendula,RCKI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1388,GUIS-MS,yes,Golden-crowned Kinglet,Regulus satrapa,GCKI,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1394,GUIS-MS,yes,Bank Swallow,Riparia riparia,BANS,no,no,,Insectivore, air hawker above canopy,Insectivore_ air hawker above canopy
1500,GUIS-MS,no,Black Skimmer,Rynchops niger,BLSK,yes,yes,not landbird,NA,NA,NA_NA
1403,GUIS-MS,yes,Eastern Phoebe,Sayornis phoebe,EAPH,no,yes,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1537,GUIS-MS,no,American Woodcock,Scolopax minor,AMWO,no,yes,not landbird,NA,NA,NA_NA
1412,GUIS-MS,yes,Ovenbird,Seiurus aurocapilla,OVEN,no,no,,Insectivore, ground gleaner,Insectivore_ ground gleaner
1424,GUIS-MS,yes,Northern Parula,Setophaga americana,NOPA,yes,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1430,GUIS-MS,yes,Black-throated Blue Warbler,Setophaga caerulescens,BTBW,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1436,GUIS-MS,yes,Bay-breasted Warbler,Setophaga castanea,BBWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1443,GUIS-MS,yes,Cerulean Warbler,Setophaga cerulea,CERW,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1450,GUIS-MS,yes,Hooded Warbler,Setophaga citrina,HOWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1458,GUIS-MS,yes,Yellow-rumped Warbler,Setophaga coronata,YRWA,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1462,GUIS-MS,yes,Prairie Warbler,Setophaga discolor,PRAW,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1468,GUIS-MS,yes,Yellow-throated Warbler,Setophaga dominica,YTWA,no,yes,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1476,GUIS-MS,yes,Blackburnian Warbler,Setophaga fusca,BLBW,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1483,GUIS-MS,yes,Magnolia Warbler,Setophaga magnolia,MAWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1487,GUIS-MS,yes,Black-throated Gray Warbler,Setophaga nigrescens,BTYW,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1611,GUIS-MS,yes,Palm Warbler,Setophaga palmarum,PAWA,no,no,,Insectivore,ground gleaner,Insectivore_ground gleaner
1618,GUIS-MS,yes,Chestnut-sided Warbler,Setophaga pensylvanica,CSWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1625,GUIS-MS,yes,Yellow Warbler,Setophaga petechia,YEWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1632,GUIS-MS,yes,Pine Warbler,Setophaga pinus,PIWA,yes,yes,,Insectivore, upper canopy foliage gleaner,Insectivore_ upper canopy foliage gleaner
1640,GUIS-MS,yes,American Redstart,Setophaga ruticilla,AMRE,no,no,,Insectivore, air hawker under canopy,Insectivore_ air hawker under canopy
1646,GUIS-MS,yes,Blackpoll Warbler,Setophaga striata,BLPW,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
1651,GUIS-MS,yes,Cape May Warbler,Setophaga tigrina,CMWA,no,no,,Insectivore, lower canopy foliage gleaner,Insectivore_ lower canopy foliage gleaner
