LocationName,Latitude,Longitude,SiteName,UnitCode
PAAL06,26.0263996,-97.4713974,Palo Alto Battlefield NHP,PAAL
PAAL08,26.0104008,-97.4750977,Palo Alto Battlefield NHP,PAAL
PAAL09,26.0144997,-97.4758987,Palo Alto Battlefield NHP,PAAL
PAAL10,26.0132999,-97.4707031,Palo Alto Battlefield NHP,PAAL
PAAL12,26.0349998,-97.4740982,Palo Alto Battlefield NHP,PAAL
PAAL15,26.0076008,-97.466301,Palo Alto Battlefield NHP,PAAL
PAAL16,26.0335999,-97.4641037,Palo Alto Battlefield NHP,PAAL
PAAL21,26.0049992,-97.4686966,Palo Alto Battlefield NHP,PAAL
PAAL22,26.0312996,-97.4731979,Palo Alto Battlefield NHP,PAAL
PAAL26,26.0277004,-97.4748993,Palo Alto Battlefield NHP,PAAL
PAAL31,26.0172005,-97.4719009,Palo Alto Battlefield NHP,PAAL
PAAL33,26.0228004,-97.4800034,Palo Alto Battlefield NHP,PAAL
PAAL34,26.0226002,-97.4709015,Palo Alto Battlefield NHP,PAAL
PAAL36,26.0349007,-97.4689026,Palo Alto Battlefield NHP,PAAL
PAAL38,26.0112991,-97.4682007,Palo Alto Battlefield NHP,PAAL
PAAL39,26.0200996,-97.4662018,Palo Alto Battlefield NHP,PAAL
PAAL40,26.0167007,-97.4779968,Palo Alto Battlefield NHP,PAAL
PAAL41,26.0279999,-97.4655991,Palo Alto Battlefield NHP,PAAL
PAAL43,26.0266991,-97.4688034,Palo Alto Battlefield NHP,PAAL
PAAL45,26.0098991,-97.4723969,Palo Alto Battlefield NHP,PAAL
PAAL48,26.0195007,-97.4738007,Palo Alto Battlefield NHP,PAAL
PAAL49,26.0373001,-97.4764023,Palo Alto Battlefield NHP,PAAL
PAAL51,26.0170994,-97.4682999,Palo Alto Battlefield NHP,PAAL
PAAL54,26.0063992,-97.4707031,Palo Alto Battlefield NHP,PAAL
PAAL55,26.0226994,-97.475502,Palo Alto Battlefield NHP,PAAL
PAAL57,26.0303001,-97.4770966,Palo Alto Battlefield NHP,PAAL
PAAL58,26.031601,-97.4661026,Palo Alto Battlefield NHP,PAAL
SAAN01,29.0960007,-98.1660004,San Antonio Missions,SAAN
SAAN02,29.0981998,-98.1629028,San Antonio Missions,SAAN
SAAN03,29.0988998,-98.1651993,San Antonio Missions,SAAN
SAAN04,29.0977001,-98.1673965,San Antonio Missions,SAAN
SAAN05,29.0995998,-98.1605988,San Antonio Missions,SAAN
SAAN06,29.0939999,-98.1668015,San Antonio Missions,SAAN
SAAN07,29.3374996,-98.4560013,San Antonio Missions,SAAN
SAAN08,29.3323002,-98.4496002,San Antonio Missions,SAAN
SAAN09,29.3292999,-98.4552002,San Antonio Missions,SAAN
SAAN11,29.3304996,-98.4522018,San Antonio Missions,SAAN
SAAN12,29.3253002,-98.4567032,San Antonio Missions,SAAN
SAAN13,29.3227005,-98.4555969,San Antonio Missions,SAAN
SAAN14,29.3267994,-98.4586029,San Antonio Missions,SAAN
SAAN15,29.3476009,-98.4680023,San Antonio Missions,SAAN
SAAN16,29.3337002,-98.4529037,San Antonio Missions,SAAN
SAAN17,29.3313999,-98.4476013,San Antonio Missions,SAAN
SAAN19,29.3428993,-98.4582977,San Antonio Missions,SAAN
SAAN21,29.3188,-98.4489975,San Antonio Missions,SAAN
SAAN22,29.3402004,-98.4573975,San Antonio Missions,SAAN
SAAN23,29.3171997,-98.4468994,San Antonio Missions,SAAN
SAAN25,29.3278999,-98.4615021,San Antonio Missions,SAAN
SAAN26,29.3384991,-98.4625015,San Antonio Missions,SAAN
SAAN27,29.3320999,-98.4564972,San Antonio Missions,SAAN
SAAN28,29.3290997,-98.447998,San Antonio Missions,SAAN
SAAN30,29.3899994,-98.4933014,San Antonio Missions,SAAN
SAAN31,29.3174,-98.4509964,San Antonio Missions,SAAN
SAAN32,29.3202,-98.4511032,San Antonio Missions,SAAN
SAAN34,29.3286991,-98.4593964,San Antonio Missions,SAAN
SAAN35,29.3362007,-98.4589996,San Antonio Missions,SAAN
SAAN37,29.3279991,-98.4506989,San Antonio Missions,SAAN
SAAN38,29.3605003,-98.479599,San Antonio Missions,SAAN
SAAN39,29.3635006,-98.4801025,San Antonio Missions,SAAN
SAAN40,29.3918991,-98.4916,San Antonio Missions,SAAN
TC01,30.5795002,-94.3422012,Big Thicket Turkey Creek Unit,BITH_TC
TC02,30.4766998,-94.3532028,Big Thicket Turkey Creek Unit,BITH_TC
TC03,30.4687996,-94.3594971,Big Thicket Turkey Creek Unit,BITH_TC
TC04,30.5573997,-94.344902,Big Thicket Turkey Creek Unit,BITH_TC
TC05,30.5326996,-94.3392029,Big Thicket Turkey Creek Unit,BITH_TC
TC06,30.5618,-94.3472977,Big Thicket Turkey Creek Unit,BITH_TC
TC07,30.5221996,-94.3467026,Big Thicket Turkey Creek Unit,BITH_TC
TC08,30.5970001,-94.3472977,Big Thicket Turkey Creek Unit,BITH_TC
TC09,30.5506992,-94.3414001,Big Thicket Turkey Creek Unit,BITH_TC
TC10,30.6009998,-94.3560028,Big Thicket Turkey Creek Unit,BITH_TC
TC11,30.4762993,-94.3373032,Big Thicket Turkey Creek Unit,BITH_TC
TC12,30.5485992,-94.344101,Big Thicket Turkey Creek Unit,BITH_TC
TC13,30.5881996,-94.3544998,Big Thicket Turkey Creek Unit,BITH_TC
TC14,30.5312996,-94.3431015,Big Thicket Turkey Creek Unit,BITH_TC
TC17,30.5611992,-94.3336029,Big Thicket Turkey Creek Unit,BITH_TC
TC18,30.5846996,-94.3358994,Big Thicket Turkey Creek Unit,BITH_TC
TC19,30.4715004,-94.3476028,Big Thicket Turkey Creek Unit,BITH_TC
TC20,30.5855007,-94.3554001,Big Thicket Turkey Creek Unit,BITH_TC
TC21,30.5622005,-94.3393021,Big Thicket Turkey Creek Unit,BITH_TC
TC22,30.5352993,-94.3376999,Big Thicket Turkey Creek Unit,BITH_TC
TC25,30.5459003,-94.3567963,Big Thicket Turkey Creek Unit,BITH_TC
TC27,30.6119003,-94.3498001,Big Thicket Turkey Creek Unit,BITH_TC
TC29,30.5646992,-94.3331985,Big Thicket Turkey Creek Unit,BITH_TC
TC31,30.5245991,-94.3368988,Big Thicket Turkey Creek Unit,BITH_TC
TC33,30.5410004,-94.3491974,Big Thicket Turkey Creek Unit,BITH_TC
TC34,30.5534992,-94.3539963,Big Thicket Turkey Creek Unit,BITH_TC
TC35,30.5293999,-94.3343964,Big Thicket Turkey Creek Unit,BITH_TC
TC36,30.5645008,-94.3463974,Big Thicket Turkey Creek Unit,BITH_TC
TC37,30.4743004,-94.3450012,Big Thicket Turkey Creek Unit,BITH_TC
TC38,30.5130005,-94.339798,Big Thicket Turkey Creek Unit,BITH_TC
TC39,30.4659996,-94.3345032,Big Thicket Turkey Creek Unit,BITH_TC
TC40,30.4976997,-94.3347015,Big Thicket Turkey Creek Unit,BITH_TC
BP 41,29.84968,-90.13183,Jean Lafitte Barataria Unit,JELA_BA
BP 42,29.84177,-90.12486,Jean Lafitte Barataria Unit,JELA_BA
BP 43,29.8419,-90.128,Jean Lafitte Barataria Unit,JELA_BA
BP 44,29.77963,-90.09815,Jean Lafitte Barataria Unit,JELA_BA
