OID_,zone,ZONE_CODE,COUNT,AREA,MEAN,STD
343,TC_37_100,61,3425,30825,0.439033416,0.167765046
344,TC_38_100,62,3472,31248,0.590484497,0.222087301
345,TC_39_100,63,3143,28287,0.481260014,0.223854402
346,TC_40_100,64,3418,30762,0.505464123,0.190880632
347,TC_01_50,65,732,6588,0.163401234,0.1336905
348,TC_02_50,66,869,7821,0.47121777,0.150893276
349,TC_03_50,67,864,7776,0.584702248,0.173742395
350,TC_04_50,68,862,7758,0.53863323,0.149789778
351,TC_05_50,69,871,7839,0.550289362,0.141249463
352,TC_06_50,70,868,7812,0.462150132,0.138768851
353,TC_07_50,71,720,6480,0.446840994,0.185779568
354,TC_08_50,72,863,7767,0.523652586,0.166952742
355,TC_09_50,73,870,7830,0.596605849,0.151715847
356,TC_10_50,74,846,7614,0.350821113,0.173284302
357,TC_11_50,75,569,5121,0.20167133,0.163973787
358,TC_12_50,76,870,7830,0.71462412,0.148052431
359,TC_13_50,77,864,7776,0.39389947,0.164482418
360,TC_14_50,78,865,7785,0.604637726,0.123455511
361,TC_17_50,79,868,7812,0.440784511,0.142084056
362,TC_18_50,80,775,6975,0.376692137,0.227999357
363,TC_19_50,81,749,6741,0.513974715,0.241406241
364,TC_20_50,82,875,7875,0.508372413,0.134640696
365,TC_21_50,83,866,7794,0.393063583,0.170934099
366,TC_22_50,84,864,7776,0.533299331,0.164671269
367,TC_25_50,85,709,6381,0.251098138,0.202625163
368,TC_27_50,86,853,7677,0.453250541,0.158913063
369,TC_29_50,87,869,7821,0.518587472,0.1646267
370,TC_31_50,88,856,7704,0.513038647,0.150472413
371,TC_33_50,89,868,7812,0.569087386,0.160175702
372,TC_34_50,90,867,7803,0.754754286,0.187433771
373,TC_35_50,91,868,7812,0.492917439,0.144783835
374,TC_36_50,92,869,7821,0.464317581,0.136672329
375,TC_37_50,93,862,7758,0.476434349,0.156041315
376,TC_38_50,94,871,7839,0.589313592,0.229194151
377,TC_39_50,95,739,6651,0.489639599,0.279664515
378,TC_40_50,96,870,7830,0.546446318,0.146113914
379,FL_12_200,1,16137,1.1762E-05,0.49148772,0.215411948
380,FL_16_200,2,16146,1.17686E-05,0.174332465,0.177569446
381,FL_21_200,3,16147,1.17693E-05,0.474765048,0.290638738
382,FL_23_200,4,16142,1.17656E-05,0.421992088,0.260219119
383,FL_24_200,5,16136,1.17613E-05,0.602188245,0.174263373
384,FL_27_200,6,16144,1.17671E-05,0.391495335,0.248838525
385,FL_47_200,7,16146,1.17686E-05,0.47110247,0.191400647
386,FL_26_200,8,16151,1.17722E-05,0.519862662,0.172381608
387,FL_29_200,9,16141,1.17649E-05,0.510716902,0.3120533
388,FL_28_200,10,16141,1.17649E-05,0.602577451,0.172233353
389,FL_17_200,11,16140,1.17642E-05,0.581257491,0.153396377
390,FL_31_200,12,16152,1.17729E-05,0.473384899,0.189655009
391,FL_22_200,13,16153,1.17737E-05,0.497316961,0.190006335
392,FL_12_100,14,4021,2.93084E-06,0.429395801,0.241696761
393,FL_16_100,15,4040,2.94469E-06,0.17536999,0.172336993
394,FL_21_100,16,4041,2.94542E-06,0.604060722,0.158918132
395,FL_23_100,17,4028,2.93594E-06,0.550378738,0.176239403
396,FL_24_100,18,4037,2.9425E-06,0.63465153,0.101022727
397,FL_27_100,19,4033,2.93959E-06,0.288952705,0.253458575
398,FL_47_100,20,4037,2.9425E-06,0.430687592,0.194062463
399,FL_26_100,21,4040,2.94469E-06,0.541907668,0.130485658
400,FL_29_100,22,4038,2.94323E-06,0.635671892,0.248088048
401,FL_28_100,23,4035,2.94104E-06,0.638523263,0.138092377
402,FL_17_100,24,4035,2.94104E-06,0.525122856,0.18372013
403,FL_31_100,25,4039,2.94396E-06,0.449007454,0.182616921
404,FL_22_100,26,4039,2.94396E-06,0.535699873,0.161727919
405,FL_12_50,27,1011,7.36901E-07,0.463008249,0.243329283
406,FL_16_50,28,1011,7.36901E-07,0.153049196,0.15450988
407,FL_21_50,29,1005,7.32528E-07,0.610983645,0.157807979
408,FL_23_50,30,1008,7.34714E-07,0.575139833,0.147711418
409,FL_24_50,31,1013,7.38359E-07,0.648441349,0.090545143
410,FL_27_50,32,1007,7.33986E-07,0.253064744,0.247318805
411,FL_47_50,33,1006,7.33257E-07,0.407840074,0.189207847
412,FL_26_50,34,1009,7.35443E-07,0.527831496,0.136469112
413,FL_29_50,35,1010,7.36172E-07,0.721781484,0.178680428
414,FL_28_50,36,1007,7.33986E-07,0.664316119,0.070336145
415,FL_17_50,37,1009,7.35443E-07,0.494669139,0.180980517
416,FL_31_50,38,1008,7.34714E-07,0.436121723,0.16922026
417,FL_22_50,39,1011,7.36901E-07,0.516716557,0.168155266
418,MS_32_200,1,13931,125379,0.301699319,0.229459928
419,MS_39_200,2,13936,125424,0.323114183,0.230716851
420,MS_36_200,3,13934,125406,0.288863846,0.273079109
421,MS_34_200,4,11802,106218,0.300105024,0.26256198
422,MS_27_200,5,13923,125307,0.357282565,0.225633458
423,MS_28_200,6,13929,125361,0.299643539,0.233333677
424,MS_40_200,7,13933,125397,0.309147166,0.234864929
425,MS_26_200,8,13927,125343,0.321626207,0.236270857
426,MS_32_100,9,3476,31284,0.315477258,0.217032995
427,MS_39_100,10,3484,31356,0.28654466,0.220363106
428,MS_36_100,11,3476,31284,0.294038391,0.266101692
429,MS_34_100,12,3484,31356,0.311527273,0.231545087
430,MS_27_100,13,3483,31347,0.399520734,0.207767833
431,MS_28_100,14,3484,31356,0.370058691,0.201806161
432,MS_40_100,15,3477,31293,0.414753757,0.191649945
433,MS_26_100,16,3483,31347,0.353594392,0.211952728
434,MS_32_50,17,873,7857,0.232568897,0.188464478
435,MS_39_50,18,871,7839,0.296352448,0.223243872
436,MS_36_50,19,872,7848,0.343312043,0.269611212
437,MS_34_50,20,870,7830,0.39204695,0.193450075
438,MS_27_50,21,873,7857,0.467554515,0.151813303
439,MS_28_50,22,868,7812,0.394760937,0.190618365
440,MS_40_50,23,872,7848,0.439303278,0.180468736
441,MS_26_50,24,872,7848,0.373421012,0.206471403
442,VF_008_200,1,11086,99774,0.537860666,0.24248768
443,VF_029_200,2,12315,110835,0.499311184,0.235234106
444,VF_027_200,3,11506,103554,0.471374915,0.239058033
445,VF_031_200,4,11203,100827,0.520973586,0.230954448
446,VF_057_200,5,9183,82647,0.46197578,0.233730337
447,VF_003_200,6,11229,101061,0.534129902,0.233596973
448,VF_036_200,7,5576,50184,0.423812667,0.257175917
449,VF_038_200,8,9463,85167,0.487326278,0.249340165
450,VF_032_200,9,12755,114795,0.566398883,0.225247056
451,VF_033_200,10,13241,119169,0.533879164,0.230036662
452,VF_017_200,11,11802,106218,0.570602861,0.240920778
453,VF_012_200,12,11564,104076,0.543937689,0.233566905
454,VF_042_200,13,6125,55125,0.516229316,0.251789594
455,VO_008_200,14,8299,74691,0.550485592,0.246927124
456,VM_005_200,15,12360,111240,0.495153448,0.224264696
457,VM_014_200,16,5880,52920,0.433165177,0.269470599
458,VM_007_200,17,6031,54279,0.508172085,0.238810505
459,VM_025_200,18,11212,100908,0.566149574,0.241883561
460,VM_051_200,19,10945,98505,0.594319881,0.242024944
461,VM_053_200,20,12947,116523,0.5205031,0.245862308
462,VM_054_200,21,10906,98154,0.596717531,0.242365464
463,VE_119_200,22,12212,109908,0.57223087,0.227855812
464,VM_041_200,23,12550,112950,0.47558103,0.243479279
465,VE_106_200,24,8606,77454,0.485444406,0.246408315
466,VM_016_200,25,12390,111510,0.603537156,0.225511125
467,VM_052_200,26,11431,102879,0.496799427,0.251660867
468,VM_028_200,27,11734,105606,0.51747279,0.243594495
469,VM_006_200,28,9932,89388,0.582152953,0.236169707
470,VE_110_200,29,12637,113733,0.556563923,0.23351912
471,VM_039_200,30,9296,83664,0.507466779,0.248698469
472,VM_029_200,31,8628,77652,0.586934214,0.262273512
473,VM_026_200,32,12584,113256,0.596846085,0.23147731
474,VF_008_100,33,3132,28188,0.560629643,0.232608775
475,VF_029_100,34,3388,30492,0.505551858,0.21835369
476,VF_027_100,35,3321,29889,0.457385014,0.230132692
477,VF_031_100,36,2891,26019,0.52053419,0.205714289
478,VF_057_100,37,3023,27207,0.463908039,0.236269917
479,VF_003_100,38,2772,24948,0.520321399,0.237140716
480,VF_036_100,39,714,6426,0.290808868,0.255991643
481,VF_038_100,40,2969,26721,0.511812746,0.241777878
482,VF_032_100,41,3294,29646,0.568613237,0.228191985
483,VF_033_100,42,3216,28944,0.508919239,0.235727484
484,VF_017_100,43,2903,26127,0.592106321,0.235532227
485,VF_012_100,44,3023,27207,0.557118333,0.223826496
486,VF_042_100,45,1803,16227,0.48281295,0.265654193
487,VO_008_100,46,666,5994,0.429976537,0.239041766
488,VM_005_100,47,3162,28458,0.451807964,0.228931256
489,VM_014_100,48,1865,16785,0.497144574,0.268785112
490,VM_007_100,49,813,7317,0.455375429,0.247571786
491,VM_025_100,50,2399,21591,0.553386154,0.259221326
492,VM_051_100,51,2833,25497,0.626736565,0.230104024
493,VM_053_100,52,3218,28962,0.488566118,0.248418336
494,VM_054_100,53,2854,25686,0.624867038,0.237245974
495,VE_119_100,54,3193,28737,0.606034713,0.212934841
496,VM_041_100,55,3148,28332,0.495536079,0.245156663
497,VE_106_100,56,3044,27396,0.478124906,0.246480183
498,VM_016_100,57,3134,28206,0.638161579,0.221800889
499,VM_052_100,58,3137,28233,0.534444076,0.242847159
500,VM_028_100,59,2520,22680,0.490769028,0.238895818
501,VM_006_100,60,2458,22122,0.592425894,0.2325301
502,VE_110_100,61,3290,29610,0.555203809,0.227387498
503,VM_039_100,62,2619,23571,0.549141021,0.239116548
504,VM_029_100,63,2345,21105,0.585017313,0.240413422
505,VM_026_100,64,3298,29682,0.606431372,0.230228106
506,VF_008_50,65,866,7794,0.58985555,0.221802071
507,VF_029_50,66,847,7623,0.530197239,0.199230914
508,VF_027_50,67,841,7569,0.450861612,0.220967994
509,VF_031_50,68,712,6408,0.534307977,0.200743575
510,VF_057_50,69,772,6948,0.447925359,0.239770804
511,VF_003_50,70,777,6993,0.474365898,0.237921721
512,VF_036_50,71,229,2061,0.211545812,0.221247996
513,VF_038_50,72,825,7425,0.542517118,0.229233979
514,VF_032_50,73,837,7533,0.569787973,0.22583594
515,VF_033_50,74,808,7272,0.487564193,0.235638853
516,VF_017_50,75,789,7101,0.577655849,0.226377542
517,VF_012_50,76,832,7488,0.549092068,0.199848929
518,VF_042_50,77,439,3951,0.468891838,0.278640589
519,VO_008_50,78,103,927,0.382202702,0.220595956
520,VM_005_50,79,788,7092,0.419011993,0.236908634
521,VM_014_50,80,492,4428,0.524630047,0.268944362
522,VM_007_50,81,62,558,0.227779721,0.144392887
523,VM_025_50,82,460,4140,0.567692044,0.248051847
524,VM_051_50,83,707,6363,0.603007054,0.226896357
525,VM_053_50,84,829,7461,0.557846323,0.230877896
526,VM_054_50,85,562,5058,0.606989971,0.24729933
527,VE_119_50,86,863,7767,0.599860617,0.202982096
528,VM_041_50,87,761,6849,0.506314726,0.263857146
529,VE_106_50,88,737,6633,0.427583028,0.241307982
530,VM_016_50,89,811,7299,0.67602002,0.225346253
531,VM_052_50,90,811,7299,0.547341319,0.232801203
532,VM_028_50,91,566,5094,0.466857971,0.242055316
533,VM_006_50,92,695,6255,0.613604786,0.235799468
534,VE_110_50,93,833,7497,0.529893748,0.220321297
535,VM_039_50,94,700,6300,0.57379839,0.229690819
536,VM_029_50,95,733,6597,0.598564613,0.213311416
537,VM_026_50,96,847,7623,0.601845217,0.225140652
